Meeting Time: Donnerstag, 29. Januar 2026 08:59-09:59
Participants: ds@winwin.global
Location: Zoom-Meeting

[00:00]  Dominique Stalder: "Programmierung, was wir so mitkriegen, die in."
[28:53]  Dominique Stalder: "Cool für die Konsequenzen. Ja und das sollte jetzt vielleicht noch ein bisschen schneller gehen, oder?"
[29:00]  Juliane Hoffmann: "Ja, genau das ist der Punkt."
[29:04]  Dominique Stalder: "Okay, wenn ich jetzt noch mal so auf einer Strategieebene rausgehe, hast du irgendwelche Skalierungswünsche? Ich mein, dir geht es primär jetzt im ersten Moment geht es dir eigentlich eher um den Zeitfaktor, gar nicht die gewonnene Zeit jetzt mehr Umsatz zu generieren, so wie ich das raushör, sondern oder halt auch einfach irgendwie ein bisschen ein System zu kriegen, was dein Kopf entlastet und dir hilft zwischen diesen unterschiedlichsten Themenbereichen smooth wechseln zu können, oder?"
[29:41]  Juliane Hoffmann: "Total. Allein das E Mail Thema, also das ist wirklich, ich habe es heute schon gesehen, es macht keinen Spaß. Ich muss mich dann wirklich aktiv hinsetzen, mein Schweinehund wirklich angehen und sagen, okay, die E Mail kann gelöscht werden, die kann archiviert werden, die wandel ich in ein To Do um. Ist ja mit todo ist auch total einfach, ich brauche die wirklich nur rüberziehen per Drag Drop, das ist ja schon mal ein großer Vorteil."
[30:01]  Dominique Stalder: "Kannst du mir mal deine To Do Liste zeigen, bitte? Klar und dein E Mail Programm, ich würde das gerne mal sehen."
[30:07]  Juliane Hoffmann: "Genau, also da muss ich natürlich dazu sagen, dass ich gar nicht dazu komme, jede E Mail hier zu übertragen. Mache ich einfach gar nicht. Aber so kannst du dir das vorstellen und mir ist auch im jetzigen Moment völlig egal, ob hier überfällig steht oder ob ich hier eine Aufgabe mit Frist habe. So und wenn ich jetzt beispielsweise, ich mache das mal ein bisschen kleiner, dass du das sehen kannst, wenn ich jetzt mein E Mail Dingen hier rüberziehe, das muss ich natürlich dann auch kleiner machen, logisch. Zack. So, das ist jetzt mein E Mail Zeug, wie du siehst. Also allein das hier, das ist also das triggert mich so hart, das kannst du dir nicht vorstellen, das nervt mich brutal ab. Das heißt, ich habe hier diese ganzen E Mails und wenn ich jetzt zum Beispiel sagen würde, ja vielleicht ein gutes Beispiel, weiß ich, hier hat mir jemand was gesendet, ich weiß schon wieder gar nicht, wo sie es hingesendet hat. Siehst du das? Ist das nächste Problem. Es sind zu viele E-Mails auf zu vielen Baustellen. Ich weiß es schon einfach gar nicht mehr, wo es hingeht."
[31:12]  Dominique Stalder: "Und da sag ich es Jetzt Hast du ein aus E Mail Postfach 9, schreibst eine neue E Mail und verwende es aus Versehen im falschen Absender und die Kommunikation landet in einem anderen Postfach."
[31:25]  Juliane Hoffmann: "Passiert mir glücklicherweise selten, weil ich da sehr genau drauf achte. Glücklicherweise. Also da habe ich ein Auge drauf. Aber klar, man hat natürlich im Mailprogramm eingestellt, welche Mail standardmäßig anspringt. Wenn ich jetzt aber eine Aufgabe machen möchte, klicke ich hier drauf und brauche jetzt zum Beispiel nur diese E Mail, Ziehe ich hier rein in die Beschreibung und sage was weiß ich? Zoom Empfang, Zoom Empfang, Hennes Protokoll, Protokoll, fertig ist meine Aufgabe. Da habe ich die zumindest schon mal mit hier drin. Und wenn ich das anklicke, geht tatsächlich die E Mail auf. Das finde ich das Geile, dass das nicht so eine Copy Paste Geschichte ist. Das ist jetzt kein Projekt Tool mit Ken. Doch, du kannst sogar, glaube ich, Kanban anlegen. Ist jetzt nichts großartig. Doch, hast sogar Kanban Boards, die du nutzen kannst. Ist jetzt kein High End Produkt."
[32:21]  Dominique Stalder: "Funktioniert für dich funktioniert. Das Erste, was mir eingefallen ist, da geht es noch gar nicht um KI. Wie benutzt du die Funktionen innerhalb vom E Mail Programm selber? Also dass du jetzt zum Beispiel ich sehe jetzt hier Facebook oder dass du einen Unterordner machst, Facebook und einfach schon beim Posteingang eine Regel hinterlegst, dass das automatisch in den Unterordner einsortiert werden soll."
[32:50]  Juliane Hoffmann: "Ja, genau. Am Ende des Tages will ich Also das wäre das Erste, was man wirklich machen könnte. Die Frage Was mache ich mit Facebook? Facebook Die Benachrichtigungen interessieren mich eigentlich gar nicht."
[33:00]  Dominique Stalder: "Dann ist der nächste Schritt. Also so würde ich das jetzt meinem ersten Schritt angehen, bevor wir überhaupt über KI oder sonst was reden. Dir geht Facebook auf den Sack, Dann nimm die zwei Minuten mehr in die Hand, gehe auf Facebook in die Einstellung Benachrichtigung und löscht das Häkchen."
[33:18]  Juliane Hoffmann: "Okay."
[33:20]  Dominique Stalder: "Und dann kriegst du die nicht mehr. Und wenn dich Facebook interessiert, gehst du da rein, schaust dir alles an und dann gehst du wieder raus. Die E Mail kommen nicht jede."
[33:29]  Juliane Hoffmann: "Manchmal ist natürlich wichtig, eine Benachrichtigung zu bekommen. Manchmal alles gut. Jetzt wäre die Wie würdest du es machen? Ich habe ja meine ganzen Postfächer also meine Archivierungspostfächer, ob das Poolsachen sind oder, achso, ehrenamtlich bin ich ja noch in der Schulleitung tätig von der Waldorfschule, alle zwei Wochen, Wochen ist eben so. Das heißt, ich habe unter der iCloud diese ganzen Sachen angelegt, weil ich davon überall Zugriff drauf habe und dann nehme ich mir so ein Ding und schiebt es halt irgendwo rein, sag, okay, so mache ich das. Das ist der manuelle Move. Das heißt, du würdest sagen, ich kann mir hier auch ein Facebook Ding anlegen."
[34:08]  Dominique Stalder: "Es müsste eigentlich gehen. Also ich muss dir auch ehrlich gestehen, ich bin kein Mac User, aber die überstehende Logik, die weiß ich."
[34:15]  Juliane Hoffmann: "Es gibt Regeln, das weiß ich, klar."
[34:18]  Dominique Stalder: "Die muss es geben. Und da würde ich jetzt eigentlich eher mal durch alle durchscannen und mich mal mit Zettel und Stift hinsetzen und überhaupt mal das so was auf einem Blatt Papier skizzieren. Jetzt hast du deine verschiedenen Postfächer, du hast verschiedene Kunden oder Inputaspekte oder das sind ganz wichtige, sind deine Kunden, dann ist irgendwie was Nachlässigbares wie Newsletter und Toolbenachrichtigung und so weiter. Also das kommt alles da rein und probier es vom anderen raus von hinten aufzuzäumen. Also das schaue ich mir immer gern so an. Was soll am Ende des Tages, wenn du da einmal durch bist, was soll das Ergebnis sein?"
[35:07]  Juliane Hoffmann: "Das kann ich dir sofort verraten. Das Ergebnis soll sein, dass ich diese ganze Scheiße hier gar nicht mehr sehe, aber im Zweifelsfall links in ein Postfach gehen kann, wo ich auch gerne mal zusammendampfen kann, um zu gucken, ach so wie beim Spam einfach nur mal zu überfliegen, vielleicht ist ja doch was, weißt du, Also mein Spam beispielsweise hier Spam von der iCloud sind 19 Stück drin, das ist mein morgendlicher Move. Ich mache den hier, super, wunderbar, tschüss, perfekt. Das finde ich total klasse."
[35:37]  Dominique Stalder: "Genau. Und das würde ich in dem ersten Schritt eigentlich ähnlich strukturieren, dass du sagst zum Beispiel, ich mache mir ein iCloud, der ist Social Media, ich mache mir einen, der geht rum um Tools, also von ich kriege eine Nachricht von Zoom, da ist ein neues Update bis zu weiß ich nicht, wo ich überall angemeldet bin. Genau. Oder dann Bio 1 wichtig, Kunden, was weiß ich. Und dann hast du ja gesagt, jetzt bei dir ist natürlich praktisch, du machst die Ordner in der iCloud. Also das ist auch spannend. Inwiefern macht es Sinn, dass du dann zum Beispiel einen Ordner hast? Ich bleibe bei dem Beispiel Social Media, aber du hast zum Beispiel über E Mail Adresse A einen Account und über E Mail AdresSE den Account. Macht das Sinn, dass die nachher schlussendlich in einen Ordner zusammengehen oder brauchst du da eine detailliertere Struktur?"
[36:38]  Juliane Hoffmann: "Nein, gar nicht, aber da bist du."
[36:40]  Dominique Stalder: "Eh selber Meisterin drin. Also das wäre meines Erachtens eigentlich wirklich ad hoc mal der schnellste Entlastungsschritt, dass du, wenn du jetzt deine E Mails mal durchgehst, dass du eine saubere Ordnerstruktur machst und die Regeln festlegst innerhalb von dem Ganzen."
[36:55]  Juliane Hoffmann: "Das ist eine hervorragende Quick Win. Ja, sagt man ja heutzutage so schön Quick Win, den man eigentlich selber weiß, aber das ist der liebevolle Arschtritt, den man bezahlt. Nee, ich brauche tatsächlich nicht, wenn ich hier runterscrolle, ich meine, hier geht es ja weiter, das sind ja dann die ganzen anderen Postfächer, Das ist ja aber Quatsch, weil ich will ja hier in dem Baum, das ist das, worauf ich zugreifen würde, wo ich sagen würde, okay, wenn das jetzt hier Social Media wäre."
[37:21]  Dominique Stalder: "Macht auch Sinn, weil dann hast du."
[37:23]  Juliane Hoffmann: "Das Zeug zentral reingucken und dann sehe ich, ist da was dabei? Das ist wirklich gut. Also da werde ich mir was überlegen, ob man das auch zeitlich sogar abbilden kann."
[37:35]  Dominique Stalder: "Okay, das ist der erste Schnellgewinn. Der zweite schnellgewinn ist in ChatGPT. Du kannst immer schreiben, das kann ich dir nachher auch per Mail schicken. Verbessere folgenden Prompt, denke Schritt für Schritt nach, gib dir Mühe. Also da kannst du sowas davor tun. Und dann würde ich zum Beispiel jetzt ad hoc, du hast gesagt, dir fehlt ein Master Prompt, um diese Protokolle zu erstellen."
[38:08]  Juliane Hoffmann: "Genau, ich mache es in der Regel so, dass ich erstelle mir, also das mache ich manchmal, erstelle mir einen Prompt für folgende, Stelle mir dazu alle Fragen, die du benötigst, um diesen Prompt wirklich vernünftig zu erstellen, damit ein, was weiß ich, planbares, zielorientiertes Ergebnis rauskommt. Hier ist schon mal die Zusammenfassung aus Zoom und stell mir bitte alle Fragen, weil so, und dieser Master Prompt fehlt mir natürlich im Hinblick auf meine Tätigkeit. Da kommt immer ein Prompt bei raus, aber der jedes Mal anders."
[38:42]  Dominique Stalder: "Ja, aber ich muss auch sagen, das ist ein Stück weit auch dem Modell geschuldet. Also JGPT, ich hatte es noch die längste Zeit wegen meinen Kunden da. Ich habe es jetzt gekündigt und du arbeitest, du arbeitest mit Claude, ne, Ich habe alle Modelle, also weil ich das auch wissen muss und meine Kunden das unterschiedlich nutzen. Und da mache ich einen kurzen Exkurs rein. Es gibt diese Chat Plattformen, da hast du alle Modelle drin und kannst die auswählen. Die sind auch spannend. Also zum Beispiel LangDoc oder Logic, die sind komplett DSGVO konform und die haben auch nette Spielereien da drin, also was die wirklich können. Also vor allem Langdog, da hast du sogar die Möglichkeit, diese Workflows einfach via drag and drop oder via Vibe, also quasi du gibst dem einfach ein, ich brauche eine Automatisierung, dass wenn das passiert, am Schluss das rauskommt und der baut dir das. Also so Sachen gibt es da eigentlich schon auch. Der Nachteil wiederum von diesen Sachen ist, du hast nicht die neuesten Modelle oder die ganz abgefahrenen anderen Funktion, aber du bist DSGVO konform. Gibt's eben Langdog Typing meint, das sind so diese, sag ich mal, Chat Klienten."
[40:06]  Juliane Hoffmann: "Ja, aber weißt du, am Ende brauche ich das ja nicht wirklich, weil ich kann ja auch sagen, Göttinger Zahnarztpraxis, ich muss den Namen nicht nennen. Und wenn ich mein Konzept dann geschrieben habe über die AI."
[40:16]  Dominique Stalder: "Ja, da gebe ich dir recht, du kannst schon anonymisiert arbeiten, aber jetzt kommt das große Aber. Im Grunde kann ich eigentlich Claude Code so einrichten, dass er vollen Zugriff auf meinen Computer hat und wie eine Sekretärin arbeitet, Der steuert mein Windows, dem kann ich sogar ein Zip Telefon geben und so weiter, der hat Agenten, die im Hintergrund laufen, der steuert mein Browser, der steuert meine Programme und so weiter. Also so mal die ganz abgefahrene Ecke."
[40:47]  Juliane Hoffmann: "Das finde ich schon geil. So ist das nicht."
[40:50]  Dominique Stalder: "Ja, also das ist, finde ich persönlich noch gerade auch für Endkunden, weißt du, da bist du schon in dem Bereich, da musste das Zeug coden. Also die Agenten, das macht das schon selber, aber du hast es nicht mehr visuell."
[41:05]  Juliane Hoffmann: "Also mein Problem ist dann auch, ich habe es dadurch, dass du dich natürlich extrem gut auskennst, ich wiederum nicht, hat man natürlich als Endkunde möglicherweise auch das Thema, dass ich das gefühl habe, ich verliere die Kontrolle."
[41:17]  Dominique Stalder: "Genau, genau das meine ich."
[41:19]  Juliane Hoffmann: "Ich will Hilfe, aber nicht um jeden Preis, wenn ich mein System selber nicht mehr steuern kann und gar nicht mehr weiß, wie ich aus diesem Tunnel rauskomme. Ja, was ist, wenn dir morgen was passiert, nachdem du mir alles mit eingestellt hast? Dann stehe ich erstmal da, ne?"
[41:33]  Dominique Stalder: "Und das ist ja das Schöne. Also ich muss ehrlich sagen, ich arbeit eigentlich so, dass du mich los wirst."
[41:40]  Juliane Hoffmann: "Das verstehe ich auch, aber dennoch, also du weißt, was ich meine."
[41:43]  Dominique Stalder: "Ja. Und was ich noch sagen muss, ich arbeite auch so, dass ich schau, dass diese ganzen Prozesse und alles so dokumentiert ist, damit nachher dann auch plattformunabhängig arbeiten kann."
[41:59]  Juliane Hoffmann: "Was würdest du jetzt im nächsten Schritt machen? Also wir haben den Quick Win mit den E Mails, das ist eine Hausaufgabe, die muss ich machen. Natürlich mache ich das."
[42:06]  Dominique Stalder: "Ja, ich mag dir noch mal ganz kurz einen Überblick geben, weil du hast jetzt zumindest könntest du jetzt auch einem Checklient quasi Zugriff geben auf dein E Mail Programm, dann steuerst du das manuell, du kannst dem auch sowas. GPT kennste das wie ein persönlicher Assistent, den du manuell anstoßt, der eine Aufgabe erfüllt, die gibt es als Skills in Cloth und so weiter. Also du kannst das wie und so stelle ich mir das fast sinnvoller vor, das mit solchen Assistenten lösen, weil dann kannst du das anstoßen. Ich würde das jetzt nicht so lösen, deine Mail Problematik, dass ich hinten auch für dich visuell sichtbar eine Automatisierung habe, Jeden Morgen um 8 Uhr scanne dieses Postfach, mache das und jenes und übertrage es mir rein schlussendlich in ein To Do."
[43:06]  Juliane Hoffmann: "Das würdest du nicht machen."
[43:07]  Dominique Stalder: "Würde ich in dem ersten Schritt schlichtweg nicht machen, weil aus Erfahrung sind solche Prozesse irrsinnig aufwendig zu machen."
[43:14]  Juliane Hoffmann: "Also da redest du wirklich auch fehleranfällig, dass mir was durch die Lappen geht."
[43:19]  Dominique Stalder: "Richtig. Erstens das. Zweitens würde ich vorher auf jeden Fall ein Backup aller E Mails machen. Also weißt du, es ist immer so ein zweischneidiges Schwert, oder?"
[43:27]  Juliane Hoffmann: "Ja, das finde ich auch. Das heißt im Klartext, da würdest du Also ich mache die Regeln, das ist mein todo, meine Hausaufgabe. Und im zweiten Schritt würden wir aber mit diesem GPT quasi mit diesem einmal anstoßen."
[43:39]  Dominique Stalder: "Ich kann selber entscheiden, ich muss dir da noch mal warte, hast Du, ich habe dir hier eine Roadmap gemacht. Schlussendlich geht es eigentlich darum, dass egal was wir jetzt machen werden, wir müssen das Fundament legen. Wir sind jetzt eigentlich auch wieder in einzelne Prozesse abgerutscht, Aber solange das nicht einmal sauber aufgegleist ist, dass sage ich mal, diese, das muss nicht so umfangreich sein, aber wir brauchen ganz klar von dir ein Positionierungsdokument. Wir brauchen Brandvoice Dokument, wir brauchen gewisse Prozessschritte definiert, wie die Ergebnisse eigentlich rauskommen sollen."
[44:27]  Juliane Hoffmann: "Wie komme ich denn da hin?"
[44:31]  Dominique Stalder: "Es gibt zwei Varianten. Also ich mache das A in der Light Variante, das heißt, dass ich das alles scrappe, was ich von dir als Kundendaten kriege und was online verfügbar ist, dass ich dir zum Beispiel zusätzlich ein GPT zur Verfügung stelle, den du Punkt für Punkt abarbeiten kannst, um nachher so ein Dokument zu kriegen. Also das so quasi die Leitvariante. Was ich allerdings lieber mache, ist ein geführtes Interview, weil viel ist in deinem Kopf drin und das kombiniere ich mit deinen ganzen Daten, die du eigentlich hast."
[45:10]  Juliane Hoffmann: "Genau. Und die Frage ist dann, da kommen wir mal zum spannenden Thema, was macht es finanziell? Also ich will, ich bin willens, Geld ist da, ich bin bereit, was zu investieren, selbstverständlich. Also ohne Invest funktioniert ja auch keine Weiterentwicklung. Das ist ja, also wer das nicht verstanden hat, ist ja eh auf dem Holzweg. Wir müssen trotzdem festlegen, ich bin solo selbstständig, möchte es auch bleiben."
[45:32]  Dominique Stalder: "Du hast ganz klar dein Budget angegeben."
[45:34]  Juliane Hoffmann: "Finde ich super so, also das wär für die ersten Schritte. Ich habe damit nicht gesagt, dass ich im zweiten Schritt nicht bereit wäre oder in der vierten Phase kein Geld drauf zu packen. Aber ich kann dir ja nicht am Anfang, ja, wo man noch niemanden kennt, kann ich."
[45:47]  Dominique Stalder: "Ich bin so, ne, du brauchst ja, du brauchst Proof of Concept."
[45:51]  Juliane Hoffmann: "Knall da mal 5000 Euro raus, ohne den Menschen zu kennen, ohne den Background zu kennen. Das wäre Quatsch, weil das macht ja auch was mit dir. Und das finde ich wichtig, dass ich da sage, Schuster, bleib bei deinen Leisten. Womit fühle ich mich wohl? Was kann ich? Wo gehe ich nicht an Steuerrücklagen unbedingt. Ja, spannend mit. Ja genau, das ist der Punkt."
[46:15]  Dominique Stalder: "Ja, das, was ich gedacht habe. Ich würde dir eigentlich, ich würde normalerweise mache ich so ein Personalisierungsding mit Kunden, um den Bereich von Franken. Das ist aber wirklich extrem intensiv und umfasst eigentlich, dass du nachher wirklich ein vollumfängliches Konzept kriegst und eine komplett eingerichtete KI Umgebung. Das brauchen wir aber in deinem Fall so nicht und ich würde das auch nicht so extrem umfangreich gestalten, weil wir brauchen bei dir noch keine Customer Journey und Zielgruppenalyse und modulares Marketingplanung und das Ganze ist einfach too much. Deswegen runterbrechen auf die Basis. Was halt tricky wird, ist, wir müssen die Basis halt mehrfach gestalten, also das System zu bauen, weil die KI muss zwischen deinen verschiedenen Businesses eigentlich hin und her wechseln können. Wir müssen ja nicht nur für ein Business von dir das Basisding bauen, sondern wir müssen das eigentlich für jeden Teilbereich ein Stück weit bauen."
[47:29]  Juliane Hoffmann: "Ja, ja, das geht."
[47:32]  Dominique Stalder: "Und ich würde dir das eigentlich so anbieten, dass ich sagen würde, okay, Wir machen jetzt 950 Schweizer Franken und dafür würdest du folgendes Du bekommst eigentlich das komplette Set der Basisdokumente und zwar werden wir das erstellen in der Kombination aus deinen Informationen, die du rumliegen hast, plus ein Interview. Auch diese Gespräche, was wir jetzt gemacht haben, die fließen da eigentlich alles mit ein. Und last but not least kriegst du von mir eigentlich auch eine Einschulung, wie du das dann eigentlich schon machen kannst. Und das ist insofern ein Riesengewinn für dich, weil ab diesem Moment versteht die KI, wer du bist, was du machst, wie deine Prozesse sind. Und da kannst du nur allein schon von diesem Punkt mit der KI selber irrsinnig viel schon selber machen."
[48:32]  Juliane Hoffmann: "Ja, super, machen wir so."
[48:33]  Dominique Stalder: "Also das ist einfach mal dieser Fundamentschritt, bevor wir jetzt überhaupt anfangen, irgendeine Protokoll Skill zu entwickeln oder GPT oder was auch immer. Weil wenn das andere nicht klar ist, wenn das übergeordnete Bild nicht klar ist, dann weiß ich na wieder, wie sind die Farben, was muss da rein, wie ist der Stil?"
[48:56]  Juliane Hoffmann: "Das sehe ich total. 950 Franken sind wie viel Euro, weißt du das? Natürlich weißt du das."
[49:02]  Dominique Stalder: "1,1, ein bisschen was über 1000 Euro."
[49:06]  Juliane Hoffmann: "Alles gut, alles wunderbar. Machen wir so. Für Dr. Flex weiß ich gar nicht, ob wir das zum jetzigen Zeitpunkt brauchen zum Beispiel. Da haben wir schon mal zumindest ja, also am Preis müssen wir jetzt nicht drehen, darum geht's mir gar nicht. Aber Dr. Flex ist so ein extra Thema, da kriege ich ja den Auftrag von Dr. Flex und betreue damit Kunden und da kann ich auch mit Sicherheit einiges über einen anderen GPT mit abdecken oder anderen Chat."
[49:30]  Dominique Stalder: "Das ist dann noch das nächste. Also eben tooltechnisch oder in welche Richtung gehen wir da? Das bei dir ist entweder, wenn du sagst, okay, ich will jetzt wirklich 100 fix DSGVO konform bleiben, ich will es einfach nur korrekter halber gesagt haben oder."
[49:51]  Juliane Hoffmann: "Ich find."
[49:54]  Dominique Stalder: "Claude ehrlich gesagt am aller allerbesten. Ich mache da gerade auch eine Artikelserie zu der ganzen Thema, aber das ist."
[50:01]  Juliane Hoffmann: "Ganz schön preisintensiv, ne? Das ist ganz schön preisintensiv."
[50:07]  Dominique Stalder: "Das Ding ist, wir haben ja, es ist eines der besten Modelle im Maximalplan bist du eigentlich bei 100 Euro im Monat. Allerdings wenn das also der 20 Euro Plan, der reicht im Grunde je nach Umfang, was du machen möchtest. Beim Jan haben wir jetzt halt am Anfang ganz viele analytische und sehr komplexe Prozesse mit sehr viel Kontext laufen lassen, Da hat das jetzt halt nicht ausgereicht."
[50:37]  Juliane Hoffmann: "Verstehe, aber dagegen wehre ich mich dann auch nicht. Aber das wäre dann der Moment, wo ich also ich habe auch zwischendurch mal Perplexity als Bezahlvariante gehabt, habe ich nicht mehr, habe ich gekündigt."
[50:46]  Dominique Stalder: "Nee, brauchst du nicht, brauche ich nicht."
[50:49]  Juliane Hoffmann: "Also da würde ich aber dann auch dazu tendieren, Claude ist wahrscheinlich ähnlich aufgebaut im Setup, dass ich dann natürlich aber auch ChatGPT kündige."
[50:56]  Dominique Stalder: "Also ja, noch ein Tool und noch."
[50:59]  Juliane Hoffmann: "Ein Tool und noch ein Tool."
[51:00]  Dominique Stalder: "Das macht am Ende des Tages auf jeden Fall nicht und im ersten Moment würde ich eigentlich auch bei ChatGPT bleiben. Wir müssen da auch aus den ganzen Chats und so weiter Sachen raus. Problem oder? Und du hast ja das Google Workspace Abo. Schau, ich zeig dir jetzt zum Beispiel hier was diese Infografiken, die ich hier mache. Also Gemini ist ja schon gigantisch. So Zeug kannst du natürlich auch nutzen für deine Kunden später. Mir ist es jetzt darum gegangen, dir das mal hier kurz noch zu verdeutlichen."
[51:35]  Juliane Hoffmann: "Warum ich das hat dir Claude gebaut aufgrund von einem Meeting in Gemini in Verbindung mit Sally."
[51:44]  Dominique Stalder: "Kann ich so machen. Ich habe es jetzt manuell rüber kopiert. Also das ist jetzt eigentlich auf Basis von meiner Artikelstruktur. Ich hatte hier jetzt das da zum Beispiel, ne? Ist eine Kombination zwischen Gemini und Claude, weil was Claude nicht kann, ist Bildgenerierung und Videogenerierung. Da ist aber Gemini genial und da kannst du das quasi wie so anbinden."
[52:10]  Juliane Hoffmann: "Ich arbeite sonst auch mit Canva. Canva nutze ich natürlich."
[52:12]  Dominique Stalder: "Du kannst sogar, und schau jetzt wird spannend. Deswegen, das sind alles die Funktionen und du hast da zum Beispiel wie ein USB C Stecker zu anderen Programmen. Deswegen ist das so praktisch. Das heißt das Claude Desktop, ich öffne das hier mal, den kann ich im Grunde auch hier mit den Konnektoren, kann ich den mit Canva verknüpfen. Ich habe Zugriff auf mein Filesystem, ich kann meinen Browser kontrollieren lassen."
[52:47]  Juliane Hoffmann: "Oh Gott, wenn ich N lese, dann bin ich raus. Das war der Moment, wo ich beim Agent ausgestiegen bin. Genau, aber das ist nicht schlimm."
[52:56]  Dominique Stalder: "Mein Claude hat Zugang drauf, weil der baut mir die Automatisation automatisch in N N. Das mache ich nicht selber."
[53:06]  Juliane Hoffmann: "Boah Dominik, du machst mich jetzt schon fertig."
[53:11]  Dominique Stalder: "Ein Schritt nach dem anderen. Und was ich jetzt hier halt richtig cool finde, ist, das kannst du eben nicht in Du hast hier Projekte, oder? Und du kannst es sauber strukturieren, du kannst den Kontext geben. Und jetzt kommt das Geile, diese Skills sind quasi Prozesse, also wie GPTs, die funktionieren über alle Projekte hinweg. Wenn ich dem zum Beispiel mein Brand Skill gebe oder sowas, kann ich in Projekt A, B, C oder sonst wo arbeiten und einem sagen, jetzt generieren wir im Word Dokument mit meinen, wie meinen Dings ausschaut und dann macht er mir."
[53:47]  Juliane Hoffmann: "Das in dem jeweiligen Content, ist ja bei JBT, dann kopiere ich es raus."
[53:52]  Dominique Stalder: "Dieses Kopieren, Einfügen und alles isoliert in einem Chat, es macht mich wahnsinnig. Ja genau, da kann man nicht arbeiten. Und Gemini hat das leider aber auch nicht. Die haben keine Projekte."
[54:06]  Juliane Hoffmann: "Gemini ist die Google KI und das."
[54:09]  Dominique Stalder: "Hat Claude einfach am allerbesten gelöst. Und jetzt kommt das Beste. Alles was das produziert, auch diese GPT sind schlussendlich lokale Daten. Das bedeutet, du kannst sie nachher für jede KI nutzen."
[54:22]  Juliane Hoffmann: "Geil. Also Dominik, das machen wir. Ich weiß, du hast um 9 den nächsten Termin. Ich bin ja ein kleiner Zeitwächter Management."
[54:31]  Dominique Stalder: "Ich habe das auf den Blick gefallen."
[54:33]  Juliane Hoffmann: "55 das finde ich total gut. Mir wäre es sehr angenehm, wenn du mir im Nachgang die E Mail sendest mit dem, wie ich zumindest mein Prompt aktuell verbessern kann. Mein To Do sind die E Mails schon mal Regeln einzustellen, wenn ich gerade hier diese ganzen scheiß Newsletter sehe, von denen ich mich auch mal abmelden könnte, davon ganz abgesehen, muss ich Regeln aufstellen und dann müssten wir den nächsten Schritt gehen mit Interview und ich kann dir wirklich, ich kann dir einiges zur Verfügung stellen. Ich habe ja schon geschrieben, ich habe ja, ich habe Einarbeitungspläne für Praxen als Vorlagen, ich habe Strukturpläne für Praxen als Vorlage. Ich habe ja einiges an der Hand, was es aber natürlich für neue Kunden immer schwierig macht. Das heißt, ich muss mir das immer irgendwie greifen, neu kopieren, bauen."
[55:20]  Dominique Stalder: "Wir machen das Schritt für Schritt. Wir machen das wirklich professionell. Ich schicke dir da auch eine Vertrauenserklärung. Ich schicke dir mal ein konkretes Angebot und diesen Spezial Prompt, sage ich jetzt mal, den ich ganz gern zum Verbessern von Prompts benutze. Da hast du gleich was Und für mich wäre noch spannend, wie schaut denn deine Zeit Ressourcen aus? Du hast gesagt ein bis zwei Stunden pro Woche. Soll man das jetzt so über einen Zeitraum der nächsten drei bis vier Wochen planen? Wie hättest du das wir im Kontakt."
[55:52]  Juliane Hoffmann: "Sind meinst du oder wie?"
[55:53]  Dominique Stalder: "Ja, also wann willst du loslegen?"
[55:56]  Juliane Hoffmann: "Das kann ich dir ganz genau verraten. Ich habe jetzt Februar vier familiäre Geburtstage. Ja ich weiß auch nicht, was mein Mann und ich uns dabei gedacht haben, aber es sind ja nur zwei. Der Rest ist anders familiär. Es wäre mir tatsächlich, dann ist es auch realistisch loszulegen Mitte Februar tatsächlich, weil das ist mir sonst jetzt in den nächsten zwei Wochen einfach zu sportlich in interfamiliär super."
[56:24]  Dominique Stalder: "Also Zeitpunkt haben wir eigentlich auch geklärt. Dann mache ich mal ganz klare Roadmap."
[56:30]  Juliane Hoffmann: "17 Februar, das wäre das Startdatum 17 Februar. Ich bin bei sowas immer sehr orientiert. Ich bin bei sowas sehr klar. Ich weiß genau, was ich nicht möchte. Daraus kann ich filtern, was ich möchte. Genau, es wäre jetzt vermessen zu sagen, lass uns nächste Woche loslegen und dann stresst es mich eigentlich totaler Blödsinn."
[56:48]  Dominique Stalder: "Nee, alles gut. Deswegen frage ich dich passt auch gut in meinen Zeitplan, fokussieren wir so. Du kriegst jetzt trotzdem von mir noch mal eine Roadmap, du kriegst von mir ein paar Sachen, so die kannste liegen lassen. Wir starten erst am 17. Aber ich denke es hilft dir auch diese Prozesse zu visualisieren und gehirnschwanger das jetzt schon ein bisschen mitzunehmen."
[57:12]  Juliane Hoffmann: "Und wenn du aber was von mir brauchst, wenn du sagst, ich kann dir, ja, ist natürlich das Thema Kunden natürlich immer beim Datenschutz, aber theoretisch, also du."
[57:23]  Dominique Stalder: "Hast eine AVV Vertrag von mir haben und du kannst natürlich das bei mir Standard, du kriegst auch eine Vertrauenserklärung, weil."
[57:31]  Juliane Hoffmann: "Dann könnte ich dir einmal aus dem Google Workspace einmal meinen Gesamtordner der Ablage freigeben und da ist alles drin, was ich so bisher erarbeitet habe. Wäre vielleicht ratsam. Oder wir machen es sortiert, dass ich einen Extraordner anlege und sage, das ist interessant, das eher nicht, macht vielleicht auch Sinn, aber ich kann dir auf jeden Fall einen Ordner mit genug Zeug freigeben. Gar kein Problem."
